"FullPath","Name","Size","Item type","Date modified","Date created","Date accessed","Attributes","Perceived type","Owner","Kind","Rating","Length","Bit rate","Protected","Total size","Computer","File extension","Filename","Space free","Shared","Folder name","File location","Folder","Path","Type","Link status","Media created","Space used","Sharing status","Video compression","Data rate","Frame height","Frame rate","Frame width","Spherical","Stereo","Video orientation","Total bitrate"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_sized_video-1.mp4","Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_sized_video-1","17.4 MB","MP4 File","11/28/2025 5:27 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:40","‎254kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_sized_video-1","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_sized_video-1.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:27 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎3399kbps","720","‎24.00 frames/second","1280","No","No","0","‎3653kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bird's Eye View of Bohemian Lavender Farm_DJI_20250713134902_0441_D-HDR-2_photos_db_sized_photo_13.png","Bird's Eye View of Bohemian Lavender Farm_DJI_20250713134902_0441_D-HDR-2_photos_db_sized_photo_13","10.2 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Bird's Eye View of Bohemian Lavender Farm_DJI_20250713134902_0441_D-HDR-2_photos_db_sized_photo_13","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bird's Eye View of Bohemian Lavender Farm_DJI_20250713134902_0441_D-HDR-2_photos_db_sized_photo_13.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bird's Eye View of Manistee_DJI_20250628172944_0726_D-HDR_photos_db_sized_photo_11.png","Bird's Eye View of Manistee_DJI_20250628172944_0726_D-HDR_photos_db_sized_photo_11","10.0 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","5 Stars",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Bird's Eye View of Manistee_DJI_20250628172944_0726_D-HDR_photos_db_sized_photo_11","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bird's Eye View of Manistee_DJI_20250628172944_0726_D-HDR_photos_db_sized_photo_11.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bird's Eye View of the Neighborhood_DJI_20250622150721_0379_D-HDR_photos_db_sized_photo_10.png","Bird's Eye View of the Neighborhood_DJI_20250622150721_0379_D-HDR_photos_db_sized_photo_10","10.2 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Bird's Eye View of the Neighborhood_DJI_20250622150721_0379_D-HDR_photos_db_sized_photo_10","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bird's Eye View of the Neighborhood_DJI_20250622150721_0379_D-HDR_photos_db_sized_photo_10.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Blood Moon Closeup_P3140252-Enhanced-SR_photos_db_sized_photo_1.png","Blood Moon Closeup_P3140252-Enhanced-SR_photos_db_sized_photo_1","2.54 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Blood Moon Closeup_P3140252-Enhanced-SR_photos_db_sized_photo_1","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Blood Moon Closeup_P3140252-Enhanced-SR_photos_db_sized_photo_1.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Blood Moon_DJI_20250908205852_0722_D_photos_db_sized_photo_33.png","Blood Moon_DJI_20250908205852_0722_D_photos_db_sized_photo_33","8.98 MB","PNG File","11/28/2025 5:26 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Blood Moon_DJI_20250908205852_0722_D_photos_db_sized_photo_33","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Blood Moon_DJI_20250908205852_0722_D_photos_db_sized_photo_33.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_sized_video-10.mp4","Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_sized_video-10","140 MB","MP4 File","11/28/2025 6:16 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:27","‎249kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_sized_video-10","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_sized_video-10.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎6:15 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎41928kbps","1080","‎30.00 frames/second","1920","No","No","0","‎42178kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_sized_video-6.mp4","Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_sized_video-6","303 MB","MP4 File","11/28/2025 5:36 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:57","‎252kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_sized_video-6","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_sized_video-6.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:35 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎43644kbps","1080","‎30.00 frames/second","1920","No","No","0","‎43897kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bumble Bee Sampling Lavender_P7132118_photos_db_sized_photo_12.png","Bumble Bee Sampling Lavender_P7132118_photos_db_sized_photo_12","9.50 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Bumble Bee Sampling Lavender_P7132118_photos_db_sized_photo_12","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Bumble Bee Sampling Lavender_P7132118_photos_db_sized_photo_12.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Classic Ford Mustang_P9130783_photos_db_sized_photo_34.png","Classic Ford Mustang_P9130783_photos_db_sized_photo_34","10.0 MB","PNG File","11/28/2025 5:26 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Classic Ford Mustang_P9130783_photos_db_sized_photo_34","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Classic Ford Mustang_P9130783_photos_db_sized_photo_34.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Closeup Cardinal In Winter_P3160548_photos_db_sized_photo_2.png","Closeup Cardinal In Winter_P3160548_photos_db_sized_photo_2","9.10 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Closeup Cardinal In Winter_P3160548_photos_db_sized_photo_2","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Closeup Cardinal In Winter_P3160548_photos_db_sized_photo_2.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Closeup of Herron at Arcadia Marsh 2_P8300146_photos_db_sized_photo_25.png","Closeup of Herron at Arcadia Marsh 2_P8300146_photos_db_sized_photo_25","9.97 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Closeup of Herron at Arcadia Marsh 2_P8300146_photos_db_sized_photo_25","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Closeup of Herron at Arcadia Marsh 2_P8300146_photos_db_sized_photo_25.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Closeup of Herron at Arcadia Marsh_P8300141_photos_db_sized_photo_24.png","Closeup of Herron at Arcadia Marsh_P8300141_photos_db_sized_photo_24","9.91 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Closeup of Herron at Arcadia Marsh_P8300141_photos_db_sized_photo_24","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Closeup of Herron at Arcadia Marsh_P8300141_photos_db_sized_photo_24.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Coleus Flowers_P6221910_photos_db_sized_photo_5.png","Coleus Flowers_P6221910_photos_db_sized_photo_5","9.23 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Coleus Flowers_P6221910_photos_db_sized_photo_5","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Coleus Flowers_P6221910_photos_db_sized_photo_5.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_sized_video-8.mp4","Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_sized_video-8","904 MB","MP4 File","11/28/2025 5:56 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:02:51","‎252kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_sized_video-8","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_sized_video-8.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:51 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎43873kbps","1080","‎30.00 frames/second","1920","No","No","0","‎44125kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Duck Couple in Winter_P3240589_photos_db_sized_photo_3.png","Duck Couple in Winter_P3240589_photos_db_sized_photo_3","8.54 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Duck Couple in Winter_P3240589_photos_db_sized_photo_3","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Duck Couple in Winter_P3240589_photos_db_sized_photo_3.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Family of Herrons at Arcadia Marsh_P7202282_photos_db_sized_photo_17.png","Family of Herrons at Arcadia Marsh_P7202282_photos_db_sized_photo_17","9.57 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Family of Herrons at Arcadia Marsh_P7202282_photos_db_sized_photo_17","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Family of Herrons at Arcadia Marsh_P7202282_photos_db_sized_photo_17.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Family of Swans on the Lake_P8102727_photos_db_sized_photo_22.png","Family of Swans on the Lake_P8102727_photos_db_sized_photo_22","9.48 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Family of Swans on the Lake_P8102727_photos_db_sized_photo_22","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Family of Swans on the Lake_P8102727_photos_db_sized_photo_22.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Foggy Morning on the Lake_DJI_20250927081415_0091_D-HDR_photos_db_sized_photo_35.png","Foggy Morning on the Lake_DJI_20250927081415_0091_D-HDR_photos_db_sized_photo_35","9.41 MB","PNG File","11/28/2025 5:26 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Foggy Morning on the Lake_DJI_20250927081415_0091_D-HDR_photos_db_sized_photo_35","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Foggy Morning on the Lake_DJI_20250927081415_0091_D-HDR_photos_db_sized_photo_35.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Frankfort Light in Winter-DJI_0317-photos_db_sized_video-4.mp4","Frankfort Light in Winter-DJI_0317-photos_db_sized_video-4","29.5 MB","MP4 File","11/28/2025 5:29 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:11","‎262kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Frankfort Light in Winter-DJI_0317-photos_db_sized_video-4","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Frankfort Light in Winter-DJI_0317-photos_db_sized_video-4.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:29 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎22226kbps","1080","‎29.97 frames/second","1920","No","No","0","‎22489kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_sized_video-14.mp4","Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_sized_video-14","159 MB","MP4 File","11/28/2025 6:33 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:30","‎255kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_sized_video-14","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_sized_video-14.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎6:32 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎44427kbps","1080","‎30.00 frames/second","1920","No","No","0","‎44683kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Grand Traverse Lighthouse Foghorn Shelter_P9020255_photos_db_sized_photo_31.png","Grand Traverse Lighthouse Foghorn Shelter_P9020255_photos_db_sized_photo_31","9.92 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:09 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Grand Traverse Lighthouse Foghorn Shelter_P9020255_photos_db_sized_photo_31","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Grand Traverse Lighthouse Foghorn Shelter_P9020255_photos_db_sized_photo_31.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Grand Traverse Lighthouse_P9020265_photos_db_sized_photo_30.png","Grand Traverse Lighthouse_P9020265_photos_db_sized_photo_30","9.96 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Grand Traverse Lighthouse_P9020265_photos_db_sized_photo_30","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Grand Traverse Lighthouse_P9020265_photos_db_sized_photo_30.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Hummingbird at the Feeder_P8082625_photos_db_sized_photo_21.png","Hummingbird at the Feeder_P8082625_photos_db_sized_photo_21","9.09 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture","Unrated",,,,"1.83 TB","BRENDANROGG16 (this PC)",".png","Hummingbird at the Feeder_P8082625_photos_db_sized_photo_21","1.48 TB","No","Media Display","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display","Media Display (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Media Display\Hummingbird at the Feeder_P8082625_photos_db_sized_photo_21.png","PNG File","Unresolved",,"‎18%","Private",,,,,,,,,
